"","x"
"1","Prevotella_copri"
"2","Eubacterium_rectale"
"3","Eubacterium_ventriosum"
"4","Roseburia_intestinalis"
"5","Coprococcus_eutactus"
"6","Eubacterium_eligens"
"7","Lachnospira_pectinoschiza"
"8","Ruminococcus_callidus"
"9","Haemophilus_parainfluenzae"
"10","Faecalibacterium_prausnitzii"
"11","Catenibacterium_mitsuokai"
"12","Victivallis_vadensis"
"13","Slackia_isoflavoniconvertens"
"14","Ruminococcus_torques"
"15","Ruminococcus_obeum"
"16","Ruminococcus_lactaris"
"17","Ruminococcus_bromii"
"18","Roseburia_inulinivorans"
"19","Roseburia_hominis"
"20","Roseburia_faecis"
"21","Phascolarctobacterium_succinatutens"
"22","Paraprevotella_clara"
"23","Parabacteroides_merdae"
"24","Oxalobacter_formigenes"
"25","Odoribacter_splanchnicus"
"26","Gemmiger_formicilis"
"27","Fusicatenibacter_saccharivorans"
"28","Eubacterium_siraeum"
"29","Eubacterium_ramulus"
"30","Eubacterium_hallii"
"31","Eubacterium_biforme"
"32","Dorea_longicatena"
"33","Dorea_formicigenerans"
"34","Desulfovibrio_piger"
"35","Coprococcus_comes"
"36","Coprococcus_catus"
"37","Coprobacter_fastidiosus"
"38","Collinsella_aerofaciens"
"39","Butyricimonas_virosa"
"40","Bifidobacterium_adolescentis"
"41","Barnesiella_intestinihominis"
"42","Bacteroides_stercoris"
"43","Bacteroides_massiliensis"
"44","Bacteroides_intestinalis"
"45","Bacteroides_coprocola"
"46","Bacteroides_clarus"
"47","Bacteroides_cellulosilyticus"
"48","Allisonella_histaminiformans"
"49","Alistipes_finegoldii"
"50","Alistipes_putredinis"
"51","Turicibacter_sanguinis"
"52","Ruminococcus_albus"
"53","Pseudoflavonifractor_capillosus"
"54","Phascolarctobacterium_faecium"
"55","Parasutterella_excrementihominis"
"56","Parabacteroides_johnsonii"
"57","Clostridium_spiroforme"
"58","Clostridium_bartlettii"
"59","Bifidobacterium_bifidum"
"60","Bacteroides_xylanisolvens"
"61","Bacteroides_vulgatus"
"62","Bacteroides_uniformis"
"63","Bacteroides_salyersiae"
"64","Bacteroides_plebeius"
"65","Bacteroides_nordii"
"66","Bacteroides_finegoldii"
"67","Bacteroides_eggerthii"
"68","Anaerostipes_hadrus"
"69","Alistipes_indistinctus"
"70","Acidaminococcus_intestini"
"71","Adlercreutzia_equolifaciens"
"72","Methanobrevibacter_smithii"
"73","Akkermansia_muciniphila"
"74","Alistipes_shahii"
"75","Bacteroides_caccae"
"76","Bilophila_wadsworthia"
"77","Rothia_mucilaginosa"
"78","Streptococcus_anginosus"
"79","Klebsiella_pneumoniae"
"80","Veillonella_atypica"
"81","Streptococcus_thermophilus"
"82","Clostridium_disporicum"
"83","Parabacteroides_goldsteinii"
"84","Veillonella_parvula"
"85","Veillonella_dispar"
"86","Bifidobacterium_dentium"
"87","Streptococcus_sanguinis"
"88","Ruminococcus_gnavus"
"89","Flavonifractor_plautii"
"90","Eggerthella_lenta"
"91","Clostridium_symbiosum"
"92","Clostridium_ramosum"
"93","Clostridium_nexile"
"94","Clostridium_innocuum"
"95","Clostridium_aldenense"
"96","Clostridium_clostridioforme"
"97","Intestinimonas_butyriciproducens"
"98","Holdemania_filiformis"
"99","Bifidobacterium_longum"
"100","Bacteroides_dorei"
"101","Bacteroides_ovatus"
"102","Parabacteroides_distasonis"
"103","Coprobacillus_cateniformis"
"104","Clostridium_leptum"
"105","Bacteroides_thetaiotaomicron"
"106","Anaerotruncus_colihominis"
"107","Bacteroides_fragilis"
"108","Streptococcus_mutans"
"109","Gordonibacter_pamelaeae"
"110","Clostridium_hathewayi"
"111","Actinomyces_odontolyticus"
"112","Clostridium_citroniae"
